x,y,z,yaw,velocity,change_flag
0.0035,-0.0412,0.0253,0.0027,0,0
1.0178,-0.0324,0.0367,-0.0103,3.1303,0
2.0249,-0.0326,0.0360,-0.0272,4.3575,0
3.1080,-0.0423,0.0282,0.0129,3.5414,0
4.1749,-0.0306,0.0170,0.0217,4.5395,0
5.2452,-0.0276,0.0066,0.0090,3.2859,0
6.3307,-0.0547,0.0247,-0.0084,4.0007,0
7.3468,-0.0914,-0.0319,-0.0004,4.1359,0
8.4196,-0.0630,-0.0096,0.0205,3.3804,0
9.4512,-0.0727,0.0088,0.0062,3.1674,0
10.4698,-0.0568,0.0219,-0.0112,4.0048,0
11.5719,-0.1330,0.0132,-0.0139,4.3039,0
12.5919,-0.1055,-0.0032,0.0747,4.2223,0
13.6230,-0.0485,0.0150,0.0328,4.2913,0
14.6527,-0.0153,0.0193,0.0122,3.9976,0
15.6890,-0.0024,0.0361,-0.0052,4.0193,0
16.6937,-0.0520,0.0691,-0.0067,3.3352,0
17.7374,-0.0808,0.0800,-0.0160,4.6915,0
18.7377,-0.0744,0.0597,-0.0321,4.2074,0
19.7992,-0.1193,0.0986,-0.0096,3.5236,0
20.8088,-0.1103,0.1199,-0.0039,3.2474,0
21.9191,-0.1214,0.1943,-0.0143,4.0361,0
22.9185,-0.1599,0.2139,0.0004,5.1480,0
23.9593,-0.1794,0.2257,0.0250,4.2080,0
24.9630,-0.1733,0.2160,0.0375,3.6964,0
26.0216,-0.1034,0.2900,0.0229,3.8855,0
27.0378,-0.1025,0.3070,0.0052,4.0945,0
28.0713,-0.0864,0.3689,-0.0101,2.9449,0
29.1140,-0.1664,0.3805,-0.0089,3.6557,0
30.1926,-0.1821,0.4264,0.0305,3.1805,0
31.2837,-0.1123,0.4840,0.0206,4.0638,0
32.3655,-0.1004,0.4525,0.0021,3.5049,0
33.4286,-0.0906,0.5223,0.0046,3.9702,0
34.4460,-0.1084,0.5349,-0.0104,3.7314,0
35.5312,-0.1722,0.6070,0.0018,3.5388,0
36.6265,-0.1371,0.6432,0.0068,5.1065,0
37.7267,-0.1277,0.6701,-0.0068,4.0858,0
38.7640,-0.1942,0.7115,0.0405,2.0023,0
39.7968,-0.1214,0.7577,0.0449,4.8125,0
40.8482,-0.0910,0.7602,-0.0107,3.1872,0
41.8720,-0.1033,0.7806,-0.0284,1.1444,0
